"uai","nom","code_nature","nom_nature","nom_secteur","adresse","complement","code_postal","code_pays","nom_pays","code_commune","nom_commune","date_ouverture"
"3260021B","Université de Côte d'Ivoire","523","Université","Public","ABIDJAN","","","CI","Côte d’Ivoire","","","01/01/1983"
"3260022C","La Pepinière Des Deux Plateaux d'Abidjan","154","Ecole primaire française à l'étranger","Privé","BP 1387","ABIDJAN 08","","CI","Côte d’Ivoire","","","01/01/1983"
"3260063X","Cours Sévigné d'Abidjan","364","Collège français à l'étranger","Privé","ABIDJAN 01","","","CI","Côte d’Ivoire","","","01/10/1967"
"3260064Y","Groupe scolaire Paul Langevin d'Abidjan","154","Ecole primaire française à l'étranger","Privé","RUE DU CANAL ZONE 4C","ABIDJAN 01","","CI","Côte d’Ivoire","","","01/09/1999"
"3260065Z","Lycée français Blaise Pascal","304","Lycée français à l'étranger","Privé","25 BP 2257","ABIDJAN","","CI","Côte d’Ivoire","","","01/09/2009"
"3260067B","La farandole internationale d'Abidjan","364","Collège français à l'étranger","Public","BOITE POSTALE 01 BP 3114","ABIDJAN","","CI","Côte d’Ivoire","","","01/09/2010"
"3260068C","Lycée Maurice Delafosse d'Abidjan","364","Collège français à l'étranger","Privé","BP 15","BPBP 15 - ABIDJAN","","CI","Côte d’Ivoire","","","01/09/2012"
"3260069D","Ecole internationale Jules Verne d'Abidjan","304","Lycée français à l'étranger","Privé","06 BP 2597","ABIDJAN 06","","CI","Côte d’Ivoire","","","01/09/2013"
"3260070E","Lycée International Jean-Mermoz","304","Lycée français à l'étranger","Privé","Avenue Jean Mermoz","BPBP 3545 - Abidjan","","CI","Côte d’Ivoire","","","16/06/2015"
"3260071F","Groupe Scolaire L'Avenue des Enfants","154","Ecole primaire française à l'étranger","Privé","Abatta, route de Bingeville","BP20 BP - 1614","","CI","Côte d’Ivoire","","","01/09/2021"
"3260072G","Groupe scolaire Grain de Soleil","154","Ecole primaire française à l'étranger","Privé","Abidjan","BP25 BP - 1730","","CI","Côte d’Ivoire","","","01/09/2021"
"3260074J","Groupe Fred et Poppée","364","Collège français à l'étranger","Privé","Angré 8e tranche L84","BPBP 858 - Abidjan 28 Cocody Riviera","","CI","Côte d’Ivoire","","","21/06/2022"
"3260075K","Ecole internationale Les Vallées de Cocody Angré","364","Collège français à l'étranger","Privé","BP08 BP 157 - Abidjan O8","","","CI","Côte d’Ivoire","","","06/06/2024"
"3260076L","Ecole supérieure d'agronomie de l'Institut national polytechnique Félix Houphouët-Boigny","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","BP13 13 - Yamoussoukro","","","CI","Côte d’Ivoire","","","01/01/1996"
"3260077M","Ecole supérieure des travaux publics de l'Institut national polytechnique Félix Houphouët-Boigny","580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée","Privé","INP-HB site Sud","BP1093 - Yamoussoukro","","CI","Côte d’Ivoire","","","01/01/1996"
